customer_id,region,first_visit_year,satisfaction,total_spent_usd,visits_last_year
CUST-2824,Downtown,2024,5,351.9,9
CUST-1409,West End,2025,5,226.64,11
CUST-5506,South Side,2024,5,37.59,5
CUST-5012,North Side,2018,5,277.64,9
CUST-4657,Downtown,2021,4,218.36,8
CUST-3286,Downtown,2022,5,226.87,9
CUST-2679,Downtown,2025,2,286.23,8
CUST-9935,West End,2021,3,236.72,12
CUST-2424,North Side,2023,1,267.2,15
CUST-7912,South Side,2022,3,88.21,9
CUST-1520,Downtown,2024,4,174.56,5
CUST-1488,West End,2024,3,362.32,7
CUST-2535,South Side,2022,5,248.52,9
CUST-4582,Downtown,2024,4,116.12,6
CUST-4811,Downtown,2020,3,164.2,9
CUST-9279,Downtown,2022,4,170.59,5
CUST-1434,Downtown,2021,2,258.19,2
CUST-4257,North Side,2022,5,215.39,8
CUST-9928,North Side,2025,2,197.27,8
CUST-7873,Downtown,2024,5,250.31,6
CUST-4611,North Side,2020,5,288.22,9
CUST-8359,Downtown,2020,3,229.28,3
CUST-5557,Downtown,2023,1,204.02,5
CUST-1106,Downtown,2021,5,216.28,13
CUST-3615,North Side,2019,5,277.19,12
CUST-7924,South Side,2019,5,249.41,10
CUST-6574,Downtown,2022,5,311.38,7
CUST-5552,North Side,2023,2,158.02,6
CUST-3547,North Side,2018,4,187.97,5
CUST-4527,Downtown,2022,2,311.85,9
CUST-6514,North Side,2023,5,185.85,6
CUST-2674,Downtown,2021,4,360.72,4
CUST-2519,Downtown,2021,3,362.42,8
CUST-7224,West End,2021,2,361.39,9
CUST-2584,West End,2021,3,179.55,10
CUST-6881,South Side,2021,3,256.15,8
CUST-6635,Downtown,2023,5,210.53,13
CUST-5333,Downtown,2023,4,323.85,6
CUST-1711,South Side,2020,5,386.53,15
CUST-8527,North Side,2025,4,319.89,8
CUST-9785,Downtown,2019,2,250.73,10
CUST-3045,North Side,2024,5,220.76,5
CUST-7201,Downtown,2021,5,301.93,12
CUST-2291,West End,2018,4,152.17,9
CUST-5803,Downtown,2024,5,292.91,4
CUST-6925,South Side,2023,4,176.82,7
CUST-4150,Downtown,2018,4,299.64,4
CUST-2139,North Side,2018,4,237.13,7
CUST-1750,North Side,2018,1,218.94,7
CUST-4733,Downtown,2020,2,179.16,7
