enrollment_id,course_name,enrollment_year,final_grade,hours_studied,completion_status
ENR-154907,SQL Basics,2022,A,37.91,Completed
ENR-380679,Intro to Analytics,2023,F,25.9,Completed
ENR-191421,Intro to Analytics,2022,C,24.71,Completed
ENR-906309,SQL Basics,2024,B,28.34,Completed
ENR-527023,SQL Basics,2026,F,33.36,Completed
ENR-379501,Python for Beginners,2026,A,28.94,Completed
ENR-212931,Statistics 101,2023,C,31.19,Completed
ENR-979234,SQL Basics,2024,C,30.4,Completed
ENR-140007,Python for Beginners,2025,C,33.14,Completed
ENR-497540,Python for Beginners,2023,C,29.81,Completed
ENR-662248,Python for Beginners,2026,A,27.98,Completed
ENR-689633,SQL Basics,2025,A,32.51,Completed
ENR-448334,Python for Beginners,2023,B,32.0,Completed
ENR-457352,Intro to Analytics,2023,C,31.62,Completed
ENR-993477,Python for Beginners,2022,B,30.48,Completed
ENR-154422,SQL Basics,2023,C,29.85,In Progress
ENR-267418,Intro to Analytics,2025,C,33.59,Completed
ENR-241618,Intro to Analytics,2023,C,33.15,Completed
ENR-453597,Python for Beginners,2022,B,27.72,Completed
ENR-688211,Python for Beginners,2023,A,29.79,Completed
ENR-450010,SQL Basics,2024,B,28.49,Completed
ENR-835775,Tableau Fundamentals,2024,C,32.29,Completed
ENR-357072,SQL Basics,2024,B,27.53,Dropped
ENR-271732,SQL Basics,2023,C,30.23,Completed
ENR-101751,SQL Basics,2025,B,24.11,Completed
ENR-557468,Python for Beginners,2024,A,32.84,Completed
ENR-911165,Python for Beginners,2025,F,33.34,Completed
ENR-191869,Intro to Analytics,2023,F,26.05,Completed
ENR-726628,Intro to Analytics,2023,B,34.03,Completed
ENR-495936,SQL Basics,2025,B,27.28,Dropped
ENR-173271,Intro to Analytics,2025,B,31.02,Completed
ENR-106915,Python for Beginners,2024,A,30.28,Completed
ENR-430782,Python for Beginners,2026,C,27.12,Completed
ENR-867598,Python for Beginners,2022,C,27.52,In Progress
ENR-570099,Python for Beginners,2025,A,29.97,Completed
ENR-206993,Python for Beginners,2024,C,28.4,Completed
ENR-146019,Python for Beginners,2025,D,33.56,Completed
ENR-197270,Tableau Fundamentals,2024,C,25.63,In Progress
ENR-799545,Statistics 101,2024,C,32.23,Completed
ENR-249081,Python for Beginners,2025,B,29.03,Completed
ENR-232382,SQL Basics,2023,F,28.61,Dropped
ENR-928450,Intro to Analytics,2025,A,30.78,Dropped
ENR-122267,Python for Beginners,2023,B,32.0,Completed
ENR-405976,Python for Beginners,2025,B,31.09,Completed
ENR-551556,Tableau Fundamentals,2025,B,31.28,Completed
ENR-701261,Intro to Analytics,2025,B,30.11,Completed
ENR-600090,Python for Beginners,2025,D,28.31,Completed
ENR-378209,Statistics 101,2022,C,29.89,Completed
ENR-592089,Python for Beginners,2022,D,38.8,Completed
ENR-978536,SQL Basics,2026,B,35.43,Completed
ENR-138528,Intro to Analytics,2026,B,33.54,Completed
ENR-906139,Tableau Fundamentals,2022,B,30.83,Completed
ENR-419917,SQL Basics,2022,C,32.06,Completed
ENR-460146,Python for Beginners,2026,C,29.25,Completed
ENR-647010,Python for Beginners,2023,A,25.09,Dropped
ENR-940430,Python for Beginners,2024,D,25.57,Dropped
ENR-606421,Python for Beginners,2023,D,27.37,Completed
ENR-316911,SQL Basics,2026,C,29.35,In Progress
ENR-961166,Tableau Fundamentals,2023,F,36.38,Completed
ENR-738480,Python for Beginners,2025,C,28.53,Completed
ENR-769784,SQL Basics,2026,C,31.88,Completed
ENR-652678,SQL Basics,2024,C,29.03,Completed
ENR-692250,SQL Basics,2024,C,24.57,Completed
ENR-948652,SQL Basics,2026,A,29.47,Completed
ENR-430577,Tableau Fundamentals,2025,B,24.81,Completed
ENR-113157,Intro to Analytics,2022,B,24.97,In Progress
ENR-517582,SQL Basics,2025,D,32.26,In Progress
